district,candidate,party,votes,source_url,retrieved,note
23,Stacey G. Pheffer Amato,Democratic,16185,https://results.elections.ny.gov/contest/116,2026-08-08,"certified NYSBOE contest 116; candidate total across all lines (Democratic / We the People)"
23,Thomas P. Sullivan,Republican,16170,https://results.elections.ny.gov/contest/116,2026-08-08,"certified NYSBOE contest 116; candidate total across all lines (Republican / Conservative)"
