district,year,dem_candidate,rep_candidate,actual_dem_pct,baseline_dem_pct,overperformance,pvi_cycles,baseline_ok,two_party_votes,incumbency,inc_signed,candidate_quality,local_trend,fin_log2_dr,d_receipts,r_receipts,is_midterm,finance_controlled,expected_from_factors,unexplained_residual
ld25,2022,JAMIE SMITH,KELLY CHAMBERS,44.29,46.64,-2.35,2,True,56271,OPEN,0,2.0,-1.21,-4.85,5680.12,164351.8,1,True,-1.34,-1.01
ld25,2024,CAMERON SEVERNS,MICHAEL KEATON,44.06,48.92,-4.86,2,True,72237,R-INC,-4.0,-2.0,-1.73,1.19,204669.67,89567.94,0,True,-1.11,-3.75
ld26,2018,CONNIE FITZPATRICK,JESSE L. YOUNG,48.13,48.91,-0.78,1,True,69633,R-INC,-4.0,-2.0,0.0,-0.05,190066.47,196350.08,1,True,-0.44,-0.34
ld26,2020,CARRIE HESCH,JESSE L. YOUNG,47.17,48.91,-1.74,1,True,89284,R-INC,-4.0,0.0,0.0,0.57,354586.68,238771.12,0,True,0.71,-2.45
ld26,2022,ADISON RICHARDS,SPENCER HUTCHINS,49.51,47.06,2.45,2,True,74885,R-INC,-4.0,0.0,-0.79,0.16,389804.27,349599.22,1,True,-0.09,2.54
ld26,2024,ADISON RICHARDS,JESSE L. YOUNG,51.83,49.85,1.98,2,True,89519,R-INC,-4.0,2.0,0.96,1.02,606697.95,299793.43,0,True,2.49,-0.51
ld27,2018,LAURIE JINKINS,KYLE PASKEWITZ,71.23,69.29,1.94,1,True,56306,D-INC,3.5,0.0,0.0,4.93,127082.2,4176.87,1,True,4.34,-2.4
ld27,2020,JEANNIE DARNEILLE,KYLE PASKEWITZ,69.7,69.29,0.41,1,True,75206,D-INC,3.5,-2.0,0.98,5.22,80395.95,2149.97,0,True,4.38,-3.97
ld27,2022,LAURIE JINKINS,JALONNIE GIVENS JACKSON,71.63,69.1,2.53,2,True,58010,D-INC,3.5,2.0,-0.76,,347741.95,,1,False,3.16,-0.63
ld27,2024,LAURIE JINKINS,KEN PAULSON,71.78,70.13,1.65,2,True,71929,D-INC,3.5,0.0,0.69,,475736.77,,0,False,3.41,-1.76
ld28,2018,MARI LEAVITT,RICHARD (DICK) MURI,52.82,53.34,-0.52,1,True,52358,D-INC,3.5,0.0,0.0,1.27,378470.53,156451.13,1,True,2.49,-3.01
ld28,2020,MARI LEAVITT,KEVIN BALLARD,57.3,53.34,3.96,1,True,69758,OPEN,0,0.0,2.61,2.34,271106.4,53605.43,0,True,4.32,-0.36
ld28,2022,MARI LEAVITT,GABE SACHWITZ,58.21,54.58,3.63,2,True,46014,D-INC,3.5,3.0,-0.39,0.59,277155.56,183998.39,1,True,3.11,0.52
