county,CON,DEM,LIB,REP,UNA,total,source_url,retrieved
ADA,813,53059,3576,159087,84789,301324,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
ADAMS,13,213,23,2304,522,3075,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
BANNOCK,174,5795,496,23908,15322,45695,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
BEAR LAKE,20,145,14,3133,475,3787,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
BENEWAH,51,474,33,4267,1252,6077,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
BINGHAM,111,1616,170,17112,4677,23686,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
BLAINE,21,4497,145,4778,5620,15061,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
BOISE,37,371,60,4285,1050,5803,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
BONNER,223,2640,372,25369,5551,34155,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
BONNEVILLE,253,5334,668,42066,15733,64054,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
BOUNDARY,47,374,74,6668,1173,8336,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
BUTTE,3,69,4,1274,257,1607,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
CAMAS,3,59,6,648,110,826,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
CANYON,515,12323,1257,74540,26894,115529,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
CARIBOU,16,130,36,3191,544,3917,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
CASSIA,29,577,59,8154,1669,10488,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
CLARK,2,22,3,296,50,373,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
CLEARWATER,23,320,36,3553,988,4920,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
CUSTER,6,143,9,2398,452,3008,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
ELMORE,68,1202,142,8101,2827,12340,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
FRANKLIN,52,219,49,6553,1083,7956,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
FREMONT,27,309,41,6148,1135,7660,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
GEM,70,700,103,9376,1987,12236,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
GOODING,34,516,58,4854,1206,6668,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
IDAHO,55,518,85,8987,1553,11198,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
JEFFERSON,78,547,117,13927,2778,17447,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
JEROME,54,831,71,6070,2033,9059,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
KOOTENAI,553,9744,1337,76351,23333,111318,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
LATAH,71,4426,267,11553,7106,23423,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
LEMHI,11,358,36,4246,783,5434,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
LEWIS,16,127,16,1677,385,2221,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
LINCOLN,8,156,11,1648,400,2223,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
MADISON,128,933,218,15490,4466,21235,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
MINIDOKA,36,651,57,6213,1617,8574,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
NEZ PERCE,95,2614,200,13082,6203,22194,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
ONEIDA,15,95,25,2356,348,2839,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
OWYHEE,39,370,45,4304,884,5642,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
PAYETTE,83,958,124,9765,2615,13545,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
POWER,10,384,27,2364,769,3554,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
SHOSHONE,34,1011,72,4634,1573,7324,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
TETON,19,1752,85,3412,2434,7702,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
TWIN FALLS,142,3523,356,28920,8645,41586,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
VALLEY,24,1104,81,5425,1786,8420,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
WASHINGTON,13,413,41,4965,860,6292,https://archive.voteidaho.gov/data/voter-registrations/202607_CountyTotals.csv,2026-08-15
