district,n_candidates,winner_party,winner_name,winner_votes,runner_party,runner_votes,uncontested,margin_pct
117,2,D,PHILIP CORTEZ,40066,R,29021,False,15.99
118,2,R,JOHN LUJAN III,39246,D,36624,False,3.46
119,2,D,ELIZABETH CAMPOS,38160,R,21763,False,27.36
120,1,D,BARBARA GERVIN-HAWKINS,38208,,0,True,
121,2,R,MARC LAHOOD,51013,D,46104,False,5.05
122,2,R,MARK DORAZIO,64018,D,46180,False,16.19
123,1,D,DIEGO BERNAL,44043,,0,True,
124,2,D,JOSEY GARCIA,30345,R,18981,False,23.04
125,1,D,RAY LOPEZ,48251,,0,True,
126,2,R,E. SAM HARLESS,59749,W,616,False,97.96
127,2,R,CHARLES CUNNINGHAM,55048,D,35932,False,21.01
128,2,R,BRISCOE CAIN,45372,D,19181,False,40.57
129,2,R,DENNIS PAUL,52419,D,33758,False,21.65
130,2,R,TOM OLIVERSON,63270,D,28671,False,37.63
131,1,D,ALMA A. ALLEN,36948,,0,True,
132,2,R,MIKE SCHOFIELD,53928,D,37846,False,17.52
133,1,R,MANO DEAYALA,54283,,0,True,
134,2,D,ANN JOHNSON,61037,R,38480,False,22.67
135,1,D,JON E. ROSENTHAL,43114,,0,True,
136,2,D,JOHN H. BUCY III,45185,R,27665,False,24.05
137,2,D,GENE WU,19286,L,5988,False,52.62
138,2,R,LACEY HULL,42022,D,31671,False,14.05
139,1,D,CHARLENE WARD JOHNSON,46196,,0,True,
140,1,D,ARMANDO LUCIO WALLE,22272,,0,True,
141,1,D,SENFRONIA THOMPSON,32492,,0,True,
142,1,D,HAROLD V. DUTTON JR,41430,,0,True,
143,1,D,ANA HERNANDEZ,27796,,0,True,
144,1,D,MARY ANN PEREZ,26617,,0,True,
145,1,D,CHRISTINA MORALES,46104,,0,True,
146,2,D,LAUREN ASHLEY SIMMONS,42840,R,12282,False,55.44
147,2,D,JOLANDA JONES,47828,R,16332,False,49.09
148,2,D,PENNY MORALES SHAW,28341,R,23246,False,9.88
149,2,D,HUBERT VO,26921,R,20291,False,14.04
150,2,R,VALOREE SWANSON,48000,D,32181,False,19.73
